"timegroups","lci_std","rci_std","timegroupsf","mean_trans","se_trans","COMMON.NAME","lci","mean","rci","m1","mean_year1","s1","mean_std"
1992,85.1582071966425,117.176578144519,"before 2000",-3.10186036352759,0.0604722635640627,"Lesser Whistling-Duck",0.0391525644822961,0.0439695093067388,0.0493637062888051,-3.10186036352759,0.0439695093067388,0.0604722635640627,100
2003,77.5491807251875,105.893227739883,"2000-2006",-3.19617463952783,0.0536816428040547,"Lesser Whistling-Duck",0.0361618677991185,0.0400925762147983,0.0444406051687845,-3.10186036352759,0.0439695093067388,0.0604722635640627,91.1826782853219
2009,88.0097090836113,123.68925540086,"2007-2010",-3.04613092559607,0.0650307153118773,"Lesser Whistling-Duck",0.0409892821984344,0.0464300683030334,0.052573035908625,-3.10186036352759,0.0439695093067388,0.0604722635640627,105.596057438643
2012,119.32836293278,166.492525355534,"2011-2012",-2.74574299860245,0.0620507633518441,"Lesser Whistling-Duck",0.0552629722044521,0.0621831287790605,0.0699373022195566,-3.10186036352759,0.0439695093067388,0.0604722635640627,141.42329482292
2013,118.823846913824,161.567011696902,"2013",-2.76493271180731,0.059787983460818,"Lesser Whistling-Duck",0.0544760326230312,0.061038063719974,0.0683615606447447,-3.10186036352759,0.0439695093067388,0.0604722635640627,138.819069583338
2014,102.902808719749,142.745185061986,"2014",-2.899768607209,0.0514870615151269,"Lesser Whistling-Duck",0.0485356528328636,0.0535488808942522,0.0590636598257247,-3.10186036352759,0.0439695093067388,0.0604722635640627,121.786396388202
2015,96.232975835239,129.118400092413,"2015",-2.98498142932843,0.0520460163082088,"Lesser Whistling-Duck",0.0446132509238468,0.0492845210454931,0.0544308150319429,-3.10186036352759,0.0439695093067388,0.0604722635640627,112.087948723002
2016,91.0549216693915,123.208416259998,"2016",-3.04817607230463,0.051337153178588,"Lesser Whistling-Duck",0.0419963716595953,0.0463374415941198,0.0511151442025077,-3.10186036352759,0.0439695093067388,0.0604722635640627,105.385396209136
2017,88.2265047100769,120.386911343937,"2017",-3.07115310959439,0.0525838888206899,"Lesser Whistling-Duck",0.0409641474468468,0.045309101160018,0.0501027524947748,-3.10186036352759,0.0439695093067388,0.0604722635640627,103.046638169041
2018,81.2322260943672,111.003029879227,"2018",-3.15236230470043,0.0528218040633181,"Lesser Whistling-Duck",0.037812924265202,0.041850076165624,0.0463077916802796,-3.10186036352759,0.0439695093067388,0.0604722635640627,95.1797662186101
2019,83.8771214220525,114.389808095393,"2019",-3.11771149254869,0.0523736437762081,"Lesser Whistling-Duck",0.0391534151224396,0.0432932283102348,0.0478597508207997,-3.10186036352759,0.0439695093067388,0.0604722635640627,98.4619318997032
2020,85.5398506202345,117.808640918711,"2020",-3.10506421424225,0.0527059400388948,"Lesser Whistling-Duck",0.0396164420938482,0.0438319915158521,0.0484846802795711,-3.10186036352759,0.0439695093067388,0.0604722635640627,99.6872428347395
2021,86.3839429501612,116.599971932328,"2021",-3.09422332184834,0.0528280822281488,"Lesser Whistling-Duck",0.0400301043448917,0.0442990132606301,0.0490114331847476,-3.10186036352759,0.0439695093067388,0.0604722635640627,100.749391928831
2022,85.7159075590073,117.266524748821,"2022",-3.11116727691169,0.0521130745403294,"Lesser Whistling-Duck",0.0394250791010028,0.0435711934201025,0.0481422993524827,-3.10186036352759,0.0439695093067388,0.0604722635640627,99.0941088656289
2023,83.1096123262724,112.433731897794,"2023",-3.13475055563981,0.0527019124375063,"Lesser Whistling-Duck",0.0384805489291949,0.0425776003379476,0.0471000825794712,-3.10186036352759,0.0439695093067388,0.0604722635640627,96.8343768426411
2024,82.5996464171833,111.498269106464,"2024",-3.15150515575967,0.0526715776519828,"Lesser Whistling-Duck",0.0378556591451477,0.0418852010083715,0.0463332432643398,-3.10186036352759,0.0439695093067388,0.0604722635640627,95.2596507642904
